pays,code_pays,année,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
 Tchéquie (la),167,2013,Pommes de Terre,2531,878000.00,0.00,61000.00,4000.00,5000.00,808000.00,0.00
 Tchéquie (la),167,2013,Seigle,2515,160000.00,6000.00,8000.00,7000.00,0.00,129000.00,10000.00
 Turquie,223,2013,Blé,2511,17966000.00,211000.00,1399000.00,2300000.00,0.00,12736000.00,1320000.00
 Turquie,223,2013,Maïs,2514,7053000.00,4100000.00,55000.00,236000.00,96000.00,1821000.00,745000.00
 Turquie,223,2013,Orge,2513,8187000.00,6213000.00,557000.00,1185000.00,191000.00,0.00,41000.00
 Turquie,223,2013,"Plantes Oleiferes, Autre",2570,167000.00,52000.00,1000.00,3000.00,48000.00,55000.00,9000.00
 Ukraine,230,2013,Blé,2511,11166000.00,4169000.00,1618000.00,505000.00,97000.00,4757000.00,20000.00
 Ukraine,230,2013,Maïs,2514,14190000.00,11393000.00,242000.00,1235000.00,827000.00,480000.00,14000.00
 Ukraine,230,2013,Orge,2513,5146000.00,3638000.00,670000.00,153000.00,543000.00,140000.00,2000.00
 Ukraine,230,2013,Pommes de Terre,2531,22801000.00,7377000.00,5660000.00,1400000.00,915000.00,6150000.00,1299000.00
 Uruguay,234,2013,Maïs,2514,373000.00,210000.00,4000.00,41000.00,19000.00,91000.00,8000.00
 Uruguay,234,2013,"Plantes Oleiferes, Autre",2570,6000.00,0.00,0.00,0.00,5000.00,0.00,0.00
 Venezuela (République bolivarienne du),236,2013,Maïs,2514,3872000.00,2042000.00,2000.00,97000.00,51000.00,1680000.00,1000.00
 Venezuela (République bolivarienne du),236,2013,Pommes de Terre,2531,667000.00,13000.00,35000.00,31000.00,0.00,584000.00,3000.00
 Venezuela (République bolivarienne du),236,2013,Riz (Eq Blanchi),2805,1019000.00,260000.00,17000.00,21000.00,11000.00,711000.00,0.00
 Viet Nam,237,2013,Riz (Eq Blanchi),2805,21391000.00,2712000.00,881000.00,2703000.00,362000.00,13253000.00,1481000.00
 Zambie,251,2013,Maïs,2514,2293000.00,400000.00,30000.00,76000.00,42000.00,1725000.00,19000.00
 Égypte,59,2013,Blé,2511,19341000.00,4860000.00,217000.00,2224000.00,0.00,12048000.00,0.00
 Égypte,59,2013,Maïs,2514,13802000.00,7032000.00,32000.00,1186000.00,148000.00,5122000.00,282000.00
 Égypte,59,2013,"Plantes Oleiferes, Autre",2570,9000.00,0.00,1000.00,1000.00,7000.00,0.00,0.00
